Location Code,Real Property Asset Name,Installation Name,Owned or Leased,GSA Region,Street Address,City,State,Zip Code,Latitude,Longitude,Building Rentable Square Feet,Available Square Feet,Construction Date,Congressional District,Congressional District Representative Name,Building Status,Real Property Asset Type,31-07-2025,Estimated Asset Value (USD),Missing Valuation
GA2338,THOMPSON BRIDGE RD BLDG,,L,4,2565 THOMPSON BRIDGE RD,GAINESVILLE,GA,30501,34.33903,-83.848641,17844.0,,2000.0,1309,Andrew Clyde,Active,BUILDING,315321.3891,5626594867.100399,False
WI1771,345 WEST WASHINGTON AVENUE,,L,5,345 W WASHINGTON AVE,MADISON,WI,53703,43.0714,-89.387941,10089.0,,2000.0,5502,Mark Pocan,Active,BUILDING,437620.919,4415157451.791,False
MN1743,1301 1/2 7TH ST. NW,,L,5,1301 1/2 7TH ST NW,ROCHESTER,MN,55901,44.0318491,-92.4815976,3041.0,,2000.0,2701,Brad Finstad,Active,BUILDING,321951.6561,979054986.2001001,False
MD1008,WOODLAWN OFFICE COMPLEX,,L,3,1718 WOODLAWN DR,WOODLAWN,MD,21207,39.31476,-76.737771,160810.0,,2000.0,2407,Kweisi Mfume,Active,BUILDING,288681.2816,46422836894.096,False
CO1890,466 TUCKER SREET,,L,8,466 TUCKER ST,CRAIG,CO,81625,40.51362,-107.545,5000.0,,2000.0,803,Lauren Boebert,Active,BUILDING,312586.783,1562933915.0,False
CO1880,HORIZON COURT BUILDING,,L,8,744 HORIZON CT,GRAND JUNCTION,CO,81506,39.11318,-108.533,421.0,,2000.0,803,Lauren Boebert,Active,BUILDING,516539.3946,217463085.1266,False
FL2207,THE CRAGG BUILDING,,L,4,3452 LAKE LYNDA DR,ORLANDO,FL,32817,28.59947,-81.222241,22182.0,,2000.0,1210,Maxwell Frost,Active,BUILDING,401761.5682,8911875105.812399,False
AZ8543,1840 N. 95TH AVE,,L,9,1840 NORTH 95TH AVENUE,PHOENIX,AZ,85037,33.467202,-112.2655095,7194.0,,2000.0,403,Ruben Gallego,Active,BUILDING,356368.3347,2563713799.8318,False
FL0049,"U. S. COURTHOUSE, TALLAHASSEE, FL",,F,4,110 E PARK AVE,TALLAHASSEE,FL,32301,30.44252,-84.281351,40294.34,,1937.0,1202,Neal Dunn,Active,BUILDING,209266.3399,8432249050.486165,False
MD0823,FRC BUILDING 1 OFFICE,WHITE OAK FED RS CENTER,F,11,10903 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20993,39.036501,-76.982792,87916.86,,1945.0,2408,Jamie Raskin,Active,BUILDING,,,True
CA0762,FEDERAL CNTR BLDG 2A,ALAMEDA FED CTR,F,9,620 CENTRAL AVE,ALAMEDA,CA,94501,37.771563,-122.27904,8219.3,,1942.0,612,Barbara Lee,Excess,BUILDING,1126442.478,9258568659.425398,False
CA6971,1492 OREGON AVENUE,,L,9,1492 OREGON AVE,LONG BEACH,CA,90813,33.78556,-118.2007,10235.0,,2000.0,642,Robert Garcia,Active,BUILDING,588051.5349,6018707459.7015,False
IN1791,PURDUE UNIVERSITY AIRPORT,,L,5,1501 AVIATION DR,WEST LAFAYETTE,IN,47907,40.416246,-86.9309955,720.0,,2000.0,1804,James Baird,Active,BUILDING,,,True
AZ7562,CONGRESS PLAZA,,L,9,407 W CONGRESS ST,TUCSON,AZ,85701,32.22075,-110.97751,52850.0,,1983.0,407,Raul Grijalva,Active,BUILDING,411991.9118,21773772538.63,False
PA0517,LIBERTY CENTER PITTSBURGH,,L,3,1001 LIBERTY AVE,PITTSBURGH,PA,15222,40.44427,-79.994561,20952.0,,2000.0,4212,Summer Lee,Active,BUILDING,462439.2599,9689027373.4248,False
UT1492,GRENINGER HANGAR,,L,8,1223 N AIRPORT RD,CEDAR CITY,UT,84721,37.69924,-113.088,17229.0,,2009.0,4902,Chris Stewart,Active,BUILDING,415370.3184,7156415215.7136,False
FL2488,"MADRID BUILDING, PENSACOLA, FL",,L,4,880 N REUS ST,PENSACOLA,FL,32501,30.4212,-87.222181,9454.0,,2000.0,1201,Matt Gaetz,Active,BUILDING,262462.8292,2481323587.2567997,False
